rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus,populationM,countryPopM,nationalSharePct,industries,birthRate,workingHrsPerWk,waterAccessPct,broadbandPer100,climateScore,gdpGrowthPct,peer1,peer2,peer3
2,us-raleigh,Raleigh,United States,North America,secondary,69,75.1,76,79.1,53.8,62,A,0.85,Ranked,1.4,336,0.4,tech; education; services,1.62,37.5,97.6,38.1,62.0,2.79,Minneapolis,Pittsburgh,Kaohsiung
3,ca-montreal,Montreal,Canada,North America,secondary,68.9,62.3,93.3,75.3,74.1,54.1,A,0.91,Ranked,4.3,40,10.8,tech; finance; services,1.26,34.8,96.9,42.5,44.0,1.55,Ottawa,Graz,Eindhoven
4,tw-kaohsiung,Kaohsiung,Taiwan,East Asia,primary,66.7,66.1,86.5,90.6,47.1,56.9,A,0.77,Ranked,2.8,23.6,11.9,manufacturing; shipping; tech,0.87,41.5,98.0,28.0,68.0,,Suwon,Jeju City,Incheon
5,us-minneapolis,Minneapolis,United States,North America,primary,64.6,71.6,69.1,79.1,44.2,62,A,0.85,Ranked,3.6,336,1.1,finance; healthcare; manufacturing,1.62,37.5,97.6,38.1,48.0,2.79,Pittsburgh,Raleigh,Chicago
6,us-pittsburgh,Pittsburgh,United States,North America,secondary,64.5,76,65.1,79.1,50.2,55.7,A,0.91,Ranked,2.4,336,0.7,tech; education; services,1.62,37.5,97.6,38.1,46.0,2.79,Minneapolis,Raleigh,Chicago
7,nl-eindhoven,Eindhoven,Netherlands,"Western, Northern, and Southern Europe",secondary,64.3,64.6,97.6,71.8,65.7,42.8,A,0.91,Ranked,0.8,17.9,4.5,tech; manufacturing; services,1.49,30.2,100.0,43.3,46.0,1.08,Braga,Graz,Ottawa
8,at-graz,Graz,Austria,"Western, Northern, and Southern Europe",secondary,63.9,62.4,87.1,74.4,73.4,41.4,A,0.91,Ranked,0.4,9.1,4.4,manufacturing; automotive; education,1.41,33.4,98.9,29.4,50.0,-0.66,Ottawa,Eindhoven,Venice
9,tw-taipei,Taipei,Taiwan,East Asia,primary,63.8,48.4,89.5,89.7,47.1,69.4,A,0.86,Ranked,7,23.6,29.7,tech; finance; services,0.87,41.5,99.0,28.0,62.0,,Singapore,Melbourne,Brisbane
10,cz-prague,Prague,Czechia,Southern/Eastern Europe and Eurasia,primary,63.5,62,90.6,61.9,87.7,42.4,A,0.95,Ranked,,,,,1.45,40.1,99.9,33.3,47.0,1.60,Bangkok,Lyon,Graz
11,ca-ottawa,Ottawa,Canada,North America,primary,63.5,55.3,93.3,75.3,75.6,44.2,A,0.91,Ranked,1.5,40,3.8,government; tech; services,1.26,34.8,96.9,42.5,42.0,1.55,Graz,Tokyo,Vienna
12,kr-jeju-city,Jeju City,South Korea,East Asia,secondary,61.6,56.2,99.2,85.8,44.8,50.6,A,0.91,Ranked,0.49,51.7,0.9,tourism; services; agriculture,0.72,38.5,99.3,46.6,60.0,2.00,Incheon,Busan,Suwon
13,pt-braga,Braga,Portugal,"Western, Northern, and Southern Europe",secondary,60.6,58.4,95.7,68.8,57.9,43.8,A,0.91,Ranked,0.4,10.2,3.9,manufacturing; tech; services,1.43,37.3,95.2,44.1,58.0,2.14,Porto,Eindhoven,Fukuoka
14,fr-lyon,Lyon,France,"Western, Northern, and Southern Europe",primary,60.6,52.4,97.9,63.9,73.1,45.1,A,0.91,Ranked,2.3,68,3.4,biotech; manufacturing; services,1.68,35.5,99.7,48.7,56.0,1.19,Ottawa,Tokyo,Porto
15,kr-incheon,Incheon,South Korea,East Asia,primary,60.5,53.3,99.2,85.8,44.8,50.6,A,0.91,Ranked,2.9,51.7,5.6,shipping; manufacturing; tourism,0.72,38.5,99.3,46.6,57.0,2.00,Busan,Jeju City,Suwon
16,it-milan,Milan,Italy,"Western, Northern, and Southern Europe",primary,60.5,88.5,85.8,66.9,58.4,29.4,A,0.95,Ranked,3.2,59,5.4,fashion; finance; manufacturing,1.24,36.0,96.8,31.8,54.0,0.69,Torun,Katowice,Gdansk
