rank,cityId,displayName,country,region,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,rankingStatus
1,tw-taichung,"Taichung","Taiwan","East Asia",78.9,76,,,91.8,74.7,Watchlist,Watchlist
2,us-raleigh,"Raleigh","United States","North America",69,75.1,76,79.1,53.8,62,A,Ranked
3,ca-montreal,"Montreal","Canada","North America",68.9,62.3,93.3,75.3,74.1,54.1,A,Ranked
4,tw-kaohsiung,"Kaohsiung","Taiwan","East Asia",66.7,66.1,86.5,90.6,47.1,56.9,A,Ranked
5,us-minneapolis,"Minneapolis","United States","North America",64.6,71.6,69.1,79.1,44.2,62,A,Ranked
6,us-pittsburgh,"Pittsburgh","United States","North America",64.5,76,65.1,79.1,50.2,55.7,A,Ranked
7,nl-eindhoven,"Eindhoven","Netherlands","Western, Northern, and Southern Europe",64.3,64.6,97.6,71.8,65.7,42.8,A,Ranked
8,at-graz,"Graz","Austria","Western, Northern, and Southern Europe",63.9,62.4,87.1,74.4,73.4,41.4,A,Ranked
9,tw-taipei,"Taipei","Taiwan","East Asia",63.8,48.4,89.5,89.7,47.1,69.4,A,Ranked
10,ca-ottawa,"Ottawa","Canada","North America",63.5,55.3,93.3,75.3,75.6,44.2,A,Ranked
11,cz-prague,"Prague","Czechia","Southern/Eastern Europe and Eurasia",63.5,62,90.6,61.9,87.7,42.4,A,Ranked
12,kr-jeju-city,"Jeju City","South Korea","East Asia",61.6,56.2,99.2,85.8,44.8,50.6,A,Ranked
13,fr-lyon,"Lyon","France","Western, Northern, and Southern Europe",60.6,52.4,97.9,63.9,73.1,45.1,A,Ranked
14,pt-braga,"Braga","Portugal","Western, Northern, and Southern Europe",60.6,58.4,95.7,68.8,57.9,43.8,A,Ranked
15,kr-busan,"Busan","South Korea","East Asia",60.5,53.2,99.2,85.8,44.8,50.6,A,Ranked
16,it-milan,"Milan","Italy","Western, Northern, and Southern Europe",60.5,88.5,85.8,66.9,58.4,29.4,A,Ranked
17,kr-incheon,"Incheon","South Korea","East Asia",60.5,53.3,99.2,85.8,44.8,50.6,A,Ranked
18,kr-suwon,"Suwon","South Korea","East Asia",60.3,53.3,93.1,85.8,45.1,50.6,A,Ranked
19,sg-singapore,"Singapore","Singapore","Southeast Asia",60.2,43.3,87.4,94.1,38.8,73.3,A,Ranked
20,dk-copenhagen,"Copenhagen","Denmark","Western, Northern, and Southern Europe",59.9,33.1,97.9,71.3,89.6,61.5,A,Ranked
21,au-perth,"Perth","Australia","Oceania",59.8,45.3,89.5,87.1,56.3,51.2,A,Ranked
22,jp-tokyo,"Tokyo","Japan","East Asia",59.5,46.2,94.2,76.8,70.2,44.2,A,Ranked
23,ca-toronto,"Toronto","Canada","North America",59.3,38.7,93.3,75.3,72.5,54.1,A,Ranked
24,cl-valparaiso,"Valparaiso","Chile","Latin America",58.9,58.3,72.7,73.6,56.9,43,A,Ranked
25,us-chicago,"Chicago","United States","North America",58.6,56,56.6,79.1,47.6,62,A,Ranked
26,pt-porto,"Porto","Portugal","Western, Northern, and Southern Europe",58.6,52.5,95.7,68.8,57.9,43.8,A,Ranked
27,th-bangkok,"Bangkok","Thailand","Southeast Asia",58.5,45.4,84.9,62.5,90,46,A,Ranked
28,au-adelaide,"Adelaide","Australia","Oceania",58.5,43.7,89.5,87.1,56.3,49.2,A,Ranked
29,ch-zurich,"Zurich","Switzerland","Western, Northern, and Southern Europe",58.3,39.1,97.6,72.7,76,49.4,A,Ranked
30,ee-tallinn,"Tallinn","Estonia","Western, Northern, and Southern Europe",58.2,51,90.1,58.4,49,57.8,A,Ranked
31,au-brisbane,"Brisbane","Australia","Oceania",58.2,39.7,89.5,87.1,56.3,54.4,A,Ranked
32,au-melbourne,"Melbourne","Australia","Oceania",58.2,36.4,89.5,87.1,56.3,60.5,A,Ranked
33,fi-helsinki,"Helsinki","Finland","Western, Northern, and Southern Europe",58.2,40.9,91.5,81,57.5,52.9,A,Ranked
34,uk-london,"London","United Kingdom","Western, Northern, and Southern Europe",58.2,35.1,82.8,78.4,70.2,59.3,A,Ranked
35,il-haifa,"Haifa","Israel","Middle East",58.1,66.9,58,64.7,45.8,54.7,A,Watchlist
36,at-vienna,"Vienna","Austria","Western, Northern, and Southern Europe",58.1,46.8,87.1,74.4,71.1,41.4,A,Ranked
37,cl-santiago,"Santiago","Chile","Latin America",57.9,50.7,72.7,83.8,56.9,44.6,A,Ranked
38,us-new-york,"New York","United States","North America",57.7,27.1,85.4,82,68.5,75.3,A,Ranked
39,jp-fukuoka,"Fukuoka","Japan","East Asia",57.6,59,94.5,67.4,46.6,42.3,A,Ranked
40,nz-dunedin,"Dunedin","New Zealand","Oceania",57.5,51.2,92.6,85.7,57.2,37.1,A,Ranked
41,nz-christchurch,"Christchurch","New Zealand","Oceania",57.2,45.8,92.6,85.7,57.2,41.9,A,Ranked
42,ca-vancouver,"Vancouver","Canada","North America",57.1,34.7,93.3,75.3,70.2,54.1,A,Ranked
43,it-venice,"Venice","Italy","Western, Northern, and Southern Europe",56.8,53.9,84.7,67.8,68.6,34.8,A,Ranked
44,pl-torun,"Torun","Poland","Southern/Eastern Europe and Eurasia",56,68.4,79.5,65.1,52,31.9,A,Ranked
45,ae-abu-dhabi,"Abu Dhabi","United Arab Emirates","Middle East",55.9,70.5,92.6,62,29.5,46.2,A,Ranked
46,nz-wellington,"Wellington","New Zealand","Oceania",55.9,37.8,92.6,85.7,57.2,48.8,A,Ranked
47,il-tel-aviv,"Tel Aviv","Israel","Middle East",55.8,47.2,75.2,64.7,46.6,54.7,A,Watchlist
48,jp-hiroshima,"Hiroshima","Japan","East Asia",55.8,59,94.5,67.4,46.6,37.3,A,Ranked
49,jp-sapporo,"Sapporo","Japan","East Asia",55.8,59,94.5,67.4,46.6,37.3,A,Ranked
50,ae-dubai,"Dubai","United Arab Emirates","Middle East",55.8,69.8,92.6,62,29.5,46.2,A,Ranked
51,pl-katowice,"Katowice","Poland","Southern/Eastern Europe and Eurasia",55.4,65.9,79.5,65.1,52,31.9,A,Ranked
52,jp-kobe,"Kobe","Japan","East Asia",55.4,58,94.5,67.4,46.6,37.3,A,Ranked
53,bh-manama,"Manama","Bahrain","Middle East",55.3,66.4,79.7,57.8,39.7,42.5,A,Ranked
54,au-sydney,"Sydney","Australia","Oceania",54.5,27.8,89.5,87.1,56.3,63.9,A,Ranked
55,nz-auckland,"Auckland","New Zealand","Oceania",54.4,32.4,92.6,85.7,57.2,52.9,A,Ranked
56,pl-gdansk,"Gdansk","Poland","Southern/Eastern Europe and Eurasia",54.3,60.9,79.5,65.1,52,31.9,A,Ranked
57,it-bologna,"Bologna","Italy","Western, Northern, and Southern Europe",54,56.4,88.2,66.9,58.4,29.4,A,Ranked
58,nl-amsterdam,"Amsterdam","Netherlands","Western, Northern, and Southern Europe",53.9,37.6,97.6,71.8,65.7,42.8,A,Ranked
59,sk-bratislava,"Bratislava","Slovakia","Southern/Eastern Europe and Eurasia",53.9,57.3,89.7,49.7,63.2,35.3,A,Ranked
60,au-hobart,"Hobart","Australia","Oceania",52.5,33.8,89.5,87.1,56.3,45.1,A,Ranked
61,pl-krakow,"Krakow","Poland","Southern/Eastern Europe and Eurasia",52.3,53.5,79.5,65.1,52,31.9,A,Ranked
